INFO  - 2016-05-02 01:40:07.059; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-05-02 01:40:07.077; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/joe/.virtualenvs/codo_django2/solr-4.10.2/example/contexts at interval 0
INFO  - 2016-05-02 01:40:07.086; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/joe/.virtualenvs/codo_django2/solr-4.10.2/example/contexts/solr-jetty-context.xml
INFO  - 2016-05-02 01:40:07.142; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/joe/.virtualenvs/codo_django2/solr-4.10.2/example/webapps/solr.war!/ to /home/joe/.virtualenvs/codo_django2/solr-4.10.2/example/solr-webapp/webapp
INFO  - 2016-05-02 01:40:08.355; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-05-02 01:40:08.401; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-05-02 01:40:08.435; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-05-02 01:40:08.436; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-05-02 01:40:08.445; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-05-02 01:40:08.582; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/joe/.virtualenvs/codo_django2/solr-4.10.2/example/solr/solr.xml
INFO  - 2016-05-02 01:40:08.837; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/joe/.virtualenvs/codo_django2/solr-4.10.2/example/solr
INFO  - 2016-05-02 01:40:08.847; org.apache.solr.core.CoreContainer; New CoreContainer 1348453796
INFO  - 2016-05-02 01:40:08.848; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-05-02 01:40:08.866; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-05-02 01:40:08.867; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-05-02 01:40:08.872; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-05-02 01:40:08.873; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-05-02 01:40:08.874; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-05-02 01:40:08.874; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-05-02 01:40:08.874; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-05-02 01:40:08.875; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-05-02 01:40:08.875; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-05-02 01:40:09.128; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2016-05-02 01:40:09.130; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-05-02 01:40:09.131; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-05-02 01:40:09.132; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2016-05-02 01:40:09.166; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/joe/.virtualenvs/codo_django2/solr-4.10.2/example/solr
INFO  - 2016-05-02 01:40:09.172; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/joe/.virtualenvs/codo_django2/solr-4.10.2/example/solr/collection1/
